,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
28,-0.4767,Thu Feb 01 11:13:30 +0000 2018,36868459,0.171,0.829,0.0,BBC Breaking News,Kenyan government shutdown of three largest private TV channels suspended by court pending full hearing https://t.co/LlcKVIDRB2
29,-0.8834,Wed Jan 31 18:09:10 +0000 2018,36868459,0.484,0.516,0.0,BBC Breaking News,"Prisoner stabbed to death at Wormwood Scrubs jail, in west London, police confirm https://t.co/UTDxfOtglV"
30,0.0,Wed Jan 31 02:02:15 +0000 2018,36868459,0.0,1.0,0.0,BBC Breaking News,Watch US President Donald Trump's first State of the Union address live here https://t.co/4F1z9xhir2
31,0.0772,Tue Jan 30 23:48:58 +0000 2018,36868459,0.0,0.92,0.08,BBC Breaking News,"US President Donald Trump to hail ""New American Moment"" in State of the Union address https://t.co/XA5KcQScxr"
32,-0.0772,Tue Jan 30 22:09:32 +0000 2018,36868459,0.121,0.769,0.109,BBC Breaking News,"The Afghan Taliban, whom US-led forces spent billions of dollars trying to defeat, are now openly active in 70% of… https://t.co/qJZVdkI4K2"
33,-0.8555,Tue Jan 30 18:54:45 +0000 2018,36868459,0.387,0.446,0.167,BBC Breaking News,"Glee actor Mark Salling, who admitted possessing child sex abuse images, found dead in an apparent suicide, US medi… https://t.co/iur9yP4hi1"
34,-0.1027,Tue Jan 30 17:14:20 +0000 2018,36868459,0.069,0.931,0.0,BBC Breaking News,"Four ringleaders behind the Hatton Garden raid must pay a total of £27.5m or serve another 7 years in jail, a Londo… https://t.co/zClw9WdOPH"
35,-0.8957,Tue Jan 30 13:28:03 +0000 2018,36868459,0.44,0.56,0.0,BBC Breaking News,"Homeless Chris Parker, who stole from Manchester Arena bomb attack victims, jailed for four years and three months https://t.co/7qTAklSDIl"
36,-0.8316,Tue Jan 30 11:09:06 +0000 2018,36868459,0.4,0.5,0.1,BBC Breaking News,.@metpoliceuk apologise to student Liam Allan for errors in handling of failed rape case against him https://t.co/iDHMglsnwj
37,0.2023,Mon Jan 29 22:28:59 +0000 2018,36868459,0.0,0.899,0.101,BBC Breaking News,"Irish government agrees to hold referendum on liberalising abortion laws at end of May, PM says https://t.co/1dOkBFyRSo"
38,-0.2023,Mon Jan 29 22:01:20 +0000 2018,36868459,0.087,0.913,0.0,BBC Breaking News,"CIA director tells the BBC he sees Russia as an adversary, expects it to target the US mid-term elections https://t.co/qZ6MCJVUdD"
39,-0.3818,Mon Jan 29 17:43:15 +0000 2018,36868459,0.175,0.825,0.0,BBC Breaking News,"FBI Deputy Director Andrew McCabe, who President Trump accused of political bias, is stepping down early - US media https://t.co/KUOvwrljy2"
40,-0.1531,Mon Jan 29 14:14:42 +0000 2018,36868459,0.124,0.787,0.09,BBC Breaking News,"Doctors can stop life-support treatment to brain-damaged 11-month-old against parents' wishes, High Court judge says https://t.co/mXIxyLTaTm"
