,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
616,bow island,ca,"{'lon': -111.368431, 'lat': 49.86676}",5906757,49.87,-111.37,1517040000,6.8,77,1,12.75,1517097600,17.09,64,88,10.83,1517043600,1517464800,16.25675,73.7,54.5,9.7005
617,povoa de varzim,pt,"{'lon': -8.76364, 'lat': 41.383438}",2735787,41.38,-8.76,1517041800,37.02,100,0,5.82,1517097600,54.26,100,0,13.4,1517043600,1517464800,54.07925,95.425,4.0,8.751500000000002
618,astrea,co,"{'lon': -73.975906, 'lat': 9.49828}",3689458,9.5,-73.98,1517043112,76.97,67,0,4.74,1517086800,97.5,32,0,3.8,1517043600,1517464800,86.61275,50.2,14.3,3.3425
619,helong,cn,"{'lon': 128.997223, 'lat': 42.539742}",2036933,42.54,129.0,1517043112,4.16,58,0,7.99,1517043600,4.16,58,0,7.99,1517043600,1517464800,1.31725,56.275,19.0,7.022999999999999
622,malatya,tr,"{'lon': 38.316669, 'lat': 38.350182}",304922,38.35,38.32,1517041200,45.1,75,90,4.7,1517043600,43.86,100,92,3.62,1517043600,1517464800,26.977500000000003,98.2,8.4,2.7087499999999998
624,anadyr,ru,"{'lon': 177.483337, 'lat': 64.75}",2127202,64.75,177.48,1517040000,26.6,92,75,24.61,1517054400,29.19,85,76,17.69,1517043600,1517464800,16.713,86.025,40.2,7.118
625,sarahan,in,"{'lon': 77.800003, 'lat': 31.51667}",1257277,31.52,77.8,1517043114,10.05,76,0,1.95,1517043600,13.75,76,0,1.95,1517043600,1517464800,4.0992500000000005,68.925,39.8,1.8204999999999998
626,wapi pathum,th,"{'lon': 103.376778, 'lat': 15.84523}",1605072,15.85,103.38,1517040000,91.4,43,40,5.82,1517130000,92.89,47,0,4.72,1517043600,1517464800,76.97975,62.425,20.2,9.2005
627,iqaluit,ca,"{'lon': -68.514488, 'lat': 63.750591}",5983720,63.75,-68.51,1517040000,-20.21,75,75,1.61,1517130000,-10.21,69,64,3.15,1517043600,1517464800,-17.92225,76.975,28.7,5.709
628,rajkot,in,"{'lon': 70.783333, 'lat': 22.299999}",1258847,22.3,70.78,1517043113,82.37,31,0,4.63,1517043600,85.5,31,0,4.63,1517043600,1517464800,68.7885,49.225,0.0,5.26275
629,naron,es,"{'lon': -8.15278, 'lat': 43.51667}",3115739,43.52,-8.15,1517040000,41.0,100,75,2.24,1517086800,55.47,97,88,15.39,1517043600,1517464800,52.8895,99.45,35.7,11.71575
630,pangnirtung,ca,"{'lon': -65.712517, 'lat': 66.145111}",6096551,66.15,-65.71,1517043117,-22.94,33,12,9.78,1517076000,-22.56,65,0,3.98,1517043600,1517464800,-24.19275,43.575,15.5,4.805
631,atambua,id,"{'lon': 124.892502, 'lat': -9.10611}",1651103,-9.11,124.89,1517043118,76.29,100,80,9.22,1517108400,76.9,100,92,17.38,1517043600,1517464800,76.81199999999998,100.0,76.7,13.354000000000003
632,santa cruz,cl,"{'lon': -71.366669, 'lat': -34.633331}",3871616,-34.63,-71.37,1517040000,57.2,76,0,5.82,1517076000,83.98,28,0,7.67,1517043600,1517464800,68.69975,48.55,0.3,4.60275
634,honiara,sb,"{'lon': 159.949997, 'lat': -9.43333}",2108502,-9.43,159.95,1517040000,80.6,88,90,14.99,1517043600,78.39,100,92,7.43,1517043600,1517464800,76.42025,98.9,88.3,6.0395
635,sooke,ca,"{'lon': -123.727623, 'lat': 48.37463}",6151264,48.37,-123.73,1517041680,39.76,86,90,17.22,1517086800,45.12,95,56,16.33,1517043600,1517464800,41.562,97.7,66.5,7.4174999999999995
636,loa janan,id,"{'lon': 117.095032, 'lat': -0.5829500000000001}",1637510,-0.58,117.09,1517043121,86.91,68,76,0.38,1517119200,94.79,50,8,2.62,1517043600,1517464800,80.55625,84.675,40.3,2.67125
637,san carlos del zulia,ve,"{'lon': -71.913521, 'lat': 9.00003}",3628489,9.0,-71.91,1517043122,77.19,85,76,2.84,1517086800,86.34,65,8,2.86,1517043600,1517464800,81.91,74.25,31.7,2.7950000000000004
638,gallup,us,"{'lon': -108.742577, 'lat': 35.52808}",5468773,35.53,-108.74,1517039580,10.26,66,1,4.7,1517086800,43.01,27,0,4.47,1517043600,1517464800,27.508249999999997,48.9,6.4,5.2255
639,loralai,pk,"{'lon': 68.597977, 'lat': 30.370529}",1171868,30.37,68.6,1517043174,61.98,13,0,5.3,1517043600,72.45,13,0,5.3,1517043600,1517464800,40.839999999999996,60.675,21.6,5.6145
