GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Below 100 percent of the poverty level,Margin of Error; Total: - Below 100 percent of the poverty level,Estimate; Total: - 100 to 149 percent of the poverty level,Margin of Error; Total: - 100 to 149 percent of the poverty level,Estimate; Total: - At or above 150 percent of the poverty level,Margin of Error; Total: - At or above 150 percent of the poverty level,Estimate; Total: - Born in state of residence:,Margin of Error; Total: - Born in state of residence:,Estimate; Total: - Born in state of residence: - Below 100 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - Below 100 percent of the poverty level,Estimate; Total: - Born in state of residence: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - 100 to 149 percent of the poverty level,Estimate; Total: - Born in state of residence: - At or above 150 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - At or above 150 percent of the poverty level,Estimate; Total: - Born in other state in the United States:,Margin of Error; Total: - Born in other state in the United States:,Estimate; Total: - Born in other state in the United States: - Below 100 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - Below 100 percent of the poverty level,Estimate; Total: - Born in other state in the United States: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - 100 to 149 percent of the poverty level,Estimate; Total: - Born in other state in the United States: - At or above 150 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - At or above 150 percent of the poverty level,Estimate; Total: - Native; born outside the United States:,Margin of Error; Total: - Native; born outside the United States:,Estimate; Total: - Native; born outside the United States: - Below 100 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - Below 100 percent of the poverty level,Estimate; Total: - Native; born outside the United States: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - 100 to 149 percent of the poverty level,Estimate; Total: - Native; born outside the United States: - At or above 150 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - At or above 150 percent of the poverty level,Estimate; Total: - Foreign born:,Margin of Error; Total: - Foreign born:,Estimate; Total: - Foreign born: - Below 100 percent of the poverty level,Margin of Error; Total: - Foreign born: - Below 100 percent of the poverty level,Estimate; Total: - Foreign born: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Foreign born: - 100 to 149 percent of the poverty level,Estimate; Total: - Foreign born: - At or above 150 percent of the poverty level,Margin of Error; Total: - Foreign born: - At or above 150 percent of the poverty level
0400000US35,35,New Mexico,2039449,1699,404463,15353,246205,13919,1388781,17423,1079133,13516,244001,11808,137016,9815,698116,14034,742004,13448,115370,7662,70474,5434,556160,12992,23428,2876,2626,1020,2191,992,18611,2465,194884,8668,42466,4609,36524,5467,115894,8129
0400000US36,36,New York,19230198,5205,2832824,38578,1566431,36411,14830943,51384,12052414,36551,1682434,28320,883681,25147,9486299,44489,2223499,24260,264413,10989,134510,6474,1824576,24067,475401,12930,122380,6813,57321,5405,295700,11204,4478884,35809,763597,21130,490919,19172,3224368,31152
0400000US37,37,North Carolina,9886033,3818,1521880,32197,1013833,28845,7350320,35512,5612513,34575,966345,24050,634036,20339,4012132,36474,3381221,31651,390208,14792,265263,13906,2725750,29194,111805,6114,16224,2669,10412,2422,85169,5323,780494,14001,149103,9265,104122,8898,527269,14669
0400000US38,38,North Dakota,731759,1407,78464,6184,51155,5050,602140,7286,460877,7501,45574,4207,31333,3318,383970,8086,240478,7461,26013,3665,17047,2562,197418,6966,6268,1797,1458,1303,122,124,4688,1236,24136,2468,5419,2016,2653,1440,16064,1949
0400000US39,39,Ohio,11287401,5000,1645382,32693,949314,27349,8692705,39568,8480524,29480,1243861,25834,713158,21294,6523505,40161,2212078,25713,288026,11895,180781,9124,1743271,22579,92042,6756,19278,3144,8016,1757,64748,5587,502757,13840,94217,8721,47359,5645,361181,12597
0400000US40,40,Oklahoma,3809431,1956,620377,15205,417502,14525,2771552,19637,2342458,17984,395011,12076,266572,10832,1680875,19145,1210634,17432,174401,7195,118658,6734,917575,14709,34119,2921,4426,1316,3442,867,26251,2459,222220,5957,46539,4188,28830,4071,146851,5896
0400000US41,41,Oregon,4016520,2426,536146,18071,373727,17412,3106647,24812,1856934,19689,267715,11899,182599,11837,1406620,21486,1724803,18571,195387,8623,139419,7901,1389997,19444,44050,3679,4646,1124,4428,1566,34976,2994,390733,10831,68398,7050,47281,4916,275054,10755
0400000US42,42,Pennsylvania,12368256,3787,1592045,30765,973297,25429,9802914,34966,8984197,32062,1109647,26913,700659,19588,7173891,38979,2311854,29805,272625,11975,156118,8501,1883111,26283,221637,9163,63279,5621,27716,3627,130642,7724,850568,19165,146494,9269,88804,8673,615270,15663
0400000US44,44,Rhode Island,1015892,798,129932,9143,74588,6659,811372,10986,583720,8454,70058,6129,41829,4769,471833,9404,264765,7458,30042,4079,18394,3281,216329,6974,21993,3521,6261,1934,1644,703,14088,2801,145414,7205,23571,3871,12721,2285,109122,6303
0400000US45,45,South Carolina,4820419,2587,735960,23271,473379,18802,3611080,27044,2753408,22869,502157,21227,304818,16473,1946433,24684,1785940,24327,186987,11078,137943,9553,1461010,25340,49520,3775,5278,1407,2107,721,42135,3665,231551,8934,41538,5095,28511,4596,161502,7754
0400000US46,46,South Dakota,837292,989,110962,6706,72370,5902,653960,8623,543788,7478,72537,5703,45585,4273,425666,8530,257463,7333,30869,2909,21712,2810,204882,7686,6348,1573,1450,909,909,573,3989,1120,29693,2547,6106,1995,4164,1803,19423,2129
0400000US47,47,Tennessee,6489032,3408,1023177,25829,648804,22137,4817051,29006,3965755,23112,684471,23261,432957,17777,2848327,28692,2157220,22647,267140,10051,174601,9865,1715479,21932,50701,4197,7913,1746,2911,1059,39877,3785,315356,10819,63653,5782,38335,5121,213368,10223
0400000US48,48,Texas,27236443,6495,4261337,60018,2771637,61729,20203469,75924,16216132,48333,2705260,40881,1705867,43182,11805005,69149,5940298,40647,583902,17565,394474,15429,4961922,40707,408812,14792,54323,6299,30701,3943,323788,13592,4671201,41011,917852,27601,640595,26324,3112754,37903
0400000US49,49,Utah,3004148,2144,306902,15189,255180,15867,2442066,21201,1868342,17900,170690,11206,151630,10272,1546022,19553,856085,17113,90348,5588,67072,6957,698665,15434,31072,3823,2239,942,4375,1650,24458,3258,248649,9924,43625,6009,32103,5238,172921,7930
0400000US50,50,Vermont,600077,990,71329,5685,46802,4513,481946,6662,305728,7081,38415,4214,28324,3542,238989,6619,262217,6912,28937,3229,15414,1790,217866,6534,5769,1036,795,520,573,332,4401,917,26363,2219,3182,1446,2491,943,20690,1872
0400000US51,51,Virginia,8158241,3830,896440,28235,572405,23380,6689396,33299,4033459,27924,534140,21353,322770,14786,3176549,31700,2942707,26615,232307,10599,152369,8671,2558031,26337,165136,7640,13318,2314,10150,2174,141668,6927,1016939,16930,116675,10318,87116,8622,813148,14514
0400000US53,53,Washington,7156306,2413,805691,22400,537823,25204,5812792,32519,3348890,28922,380292,15197,267878,17037,2700720,28927,2670996,29678,271153,11275,171027,7755,2228816,28174,125819,5559,11388,2310,7864,1658,106567,5214,1010601,20549,142858,10504,91054,8087,776689,17736
0400000US54,54,West Virginia,1779919,1541,319063,13661,195538,12096,1265318,15825,1235252,11712,228304,11214,145236,9005,861712,14714,505772,11173,83783,5721,47784,5709,374205,10778,9364,1748,1828,1031,645,444,6891,1203,29531,2941,5148,1629,1873,838,22510,2652
0400000US55,55,Wisconsin,5628565,2951,661565,19715,433346,14743,4533654,23418,4030724,18323,444680,15195,308391,13049,3277653,21968,1262328,15740,156654,6446,93777,5074,1011897,17014,51939,4656,9731,2506,5244,1393,36964,3609,283574,8307,50500,5376,25934,3445,207140,7176
0400000US56,56,Wyoming,571169,936,64663,5547,46440,5931,460066,8005,244028,6892,27280,3674,21151,3408,195597,7666,304483,7243,34224,4168,23649,3728,246610,8060,4138,1210,854,579,141,144,3143,1014,18520,2591,2305,1163,1499,1138,14716,2491
