Registrar,Total Number of Domains,Change,Share Percent
"Go Montenegro Domains, LLC (GoDaddy Group)","8,319",-5 ,0.00%
Ledl.net GmbH,"8,166",2 ,0.00%
Reg2C.com Inc.,"8,077",0 ,0.00%
"Go Australia Domains, LLC (GoDaddy Group)","7,994",-6 ,0.00%
"Blue Razor Domains, LLC (GoDaddy Group)","7,978",-3 ,0.00%
"Go China Domains, LLC (GoDaddy Group)","7,964",-1 ,0.00%
"Go France Domains, LLC (GoDaddy Group)","7,959",-3 ,0.00%
Dinahosting s.l.,"7,840",1 ,0.00%
"Go Canada Domains, LLC (GoDaddy Group)","7,648",-1 ,0.00%
Register NV dba Register.eu,"7,577",10 ,0.00%
"Marcaria.com International, Inc.","7,549",-7 ,0.00%
TLD Registrar Pty Ltd,"7,240",0 ,0.00%
NETIM SARL,"7,073",5 ,0.00%
Paragon Internet Group Ltd t/a Paragon Names,"7,066",11 ,0.00%
Nameshield SAS,"6,961",4 ,0.00%
Easyspace.com,"6,785",-7 ,0.00%
Lexsynergy Limited,"6,701",2 ,0.00%
"Megazone Corp., dba HOSTING.KR","6,534",16 ,0.00%
"EnCirca, Inc.","6,519",8 ,0.00%
Web Commerce Communications Limited dba WebNic.cc,"5,987",12 ,0.00%
Synergy Wholesale Pty Ltd,"5,916",20 ,0.00%
Webnames.ca Inc.,"5,597",-1 ,0.00%
"Net-Chinese Co., Ltd.","5,380",-5 ,0.00%
Reserved - Registry Operator acts as Registrar,"5,359",-2 ,0.00%
Ourdomains Limited,"5,270",-13 ,0.00%
Hello Internet Corp.,"5,133",-1 ,0.00%
Diamatrix C.C.,"5,034",2 ,0.00%
NameWeb BVBA,"4,972",0 ,0.00%
"10dencehispahard, S.L.","4,746",-1 ,0.00%
Key-Systems GmbH (KeyDrive Group),"4,599",9 ,0.00%
"Beijing Guoxu Network Technology Co., Ltd.","4,585",9 ,0.00%
EPAG Domainservices GmbH (Tucows),"4,574",0 ,0.00%
Web Drive Ltd. (Domain Agent),"4,464",0 ,0.00%
"Shanghai Best Oray Information S&T Co., Ltd.","4,427",-7 ,0.00%
